o,id,genre,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date
12296,81083,Country,0.466,0.479,0.722,146.208,-11.556,1,4,0.618,0.00155,0.293,0.0322,0,176467,15,1946,2371
12297,81083,Country,0.726,0.557,0.967,108.045,-9.007,1,9,0.945,0.93,0.072,0.0624,0,147627,14,1946,2371
12299,81083,Country,0.75,0.346,0.924,92.718,-12.9,1,9,0.979,0.83,0.332,0.0414,0,171467,13,1946,2371
12303,81083,Country,0.633,0.394,0.91,127.971,-13.985,1,0,0.956,0.0445,0.218,0.0333,0,166627,12,1946,2371
12301,81083,Country,0.533,0.166,0.441,111.109,-14.693,1,9,0.995,0.131,0.24,0.0316,0,185627,4,1946,2371
34301,246022,Country,0.644,0.163,0.57,147.498,-11.035,1,9,0.87,0,0.226,0.0839,0,167600,29,1947,2372
34303,246022,Country,0.669,0.11,0.788,102.292,-18.371,1,6,0.866,0.000351,0.108,0.0384,0,159760,24,1947,2372
34291,246022,Country,0.635,0.24,0.72,165.578,-13.793,0,4,0.875,0,0.31,0.486,0,170467,15,1947,2372
34293,246022,Country,0.634,0.0825,0.563,128.145,-15.602,1,7,0.892,3.55E-05,0.14,0.0417,0,171267,14,1947,2372
34290,246022,Country,0.666,0.211,0.699,131.852,-11.652,1,1,0.848,0,0.11,0.0563,0,185360,13,1947,2372
34285,246022,Country,0.674,0.252,0.694,136.515,-12.285,1,10,0.899,8.07E-06,0.104,0.0677,0,156733,10,1947,2372
34287,246022,Country,0.667,0.259,0.635,151.003,-12.226,1,5,0.775,1.27E-05,0.11,0.207,0,187600,10,1947,2372
34280,246022,Country,0.717,0.201,0.581,124.462,-13.858,1,4,0.812,0,0.317,0.0635,0,179507,9,1947,2372
34283,246022,Country,0.661,0.0747,0.558,148.177,-16.598,1,10,0.973,0,0.114,0.0784,0,242173,9,1947,2372
34278,246022,Country,0.649,0.212,0.781,117.085,-14.16,1,10,0.514,9.95E-06,0.196,0.0759,0,154000,8,1947,2372
34295,246022,Country,0.64,0.248,0.87,134.447,-13.397,1,8,0.804,0.00131,0.104,0.0556,0,114933,8,1947,2372
34294,246022,Country,0.767,0.234,0.648,99.126,-11.801,1,8,0.867,0,0.13,0.116,0,174200,7,1947,2372
57116,583959,Country,0.541,0.695,0.646,150.705,-9.402,1,2,0.453,3.06E-05,0.258,0.0528,0,289173,5,1947,2372
70730,787960,Country,0.638,0.535,0.632,146.631,-9.968,1,4,0.619,0,0.337,0.0612,0,196507,2,1947,2372
75649,816890,Country,0.747,0.407,0.79,101.662,-12.193,1,5,0.786,0.000967,0.0899,0.0274,0,168000,2,1947,2372
78207,848784,Country,0.785,0.232,0.892,105.458,-12.444,1,9,0.992,0.454,0.208,0.0519,0,170027,2,1947,2372
24204,175286,Country,0.61,0.496,0.862,179.744,-11.783,1,9,0.499,0,0.161,0.0373,0,111827,1,1947,2372
28955,198783,Country,0.694,0.728,0.974,98.185,-8.718,1,4,0.194,0,0.166,0.0249,0,129960,1,1947,2372
37557,285272,Country,0.832,0.278,0.643,119.032,-13.144,1,10,0.29,4.80E-05,0.102,0.0396,0,240800,1,1947,2372
59904,622379,Country,0.546,0.517,0.779,164.227,-11.093,0,2,0.538,0.00143,0.452,0.0505,0,195827,1,1947,2372
75653,816890,Country,0.528,0.826,0.963,135.419,-8.941,1,10,0.249,0.00185,0.981,0.0358,0,117440,1,1947,2372
10577,72205,Country,0.78,0.562,0.877,123.066,-10.695,1,6,0.154,2.85E-05,0.0692,0.0479,0,176800,0,1947,2372
13896,94205,Country,0.449,0.237,0.137,136.476,-14.229,1,5,0.866,0.746,0.108,0.0279,0,188467,0,1947,2372
30353,207127,Country,0.725,0.369,0.363,99.971,-11.572,1,7,0.76,0,0.106,0.0269,0,151107,0,1947,2372
44926,378041,Country,0.557,0.514,0.723,159.393,-10.939,1,9,0.713,0.000223,0.18,0.0343,0,188533,0,1947,2372
46654,410219,Country,0.565,0.128,0.223,130.68,-18.149,1,10,0.892,0.0316,0.0994,0.0512,0,189640,0,1947,2372
75849,816890,Country,0.572,0.224,0.513,128.42,-13.596,1,1,0.971,0.00104,0.23,0.0322,0,142067,0,1947,2372
78928,858710,Country,0.438,0.193,0.196,119.364,-13.746,1,2,0.887,7.94E-06,0.101,0.0348,0,160267,0,1947,2372
39884,314346,Country,0.573,0.36,0.951,204.158,-10.027,1,5,0.815,0,0.223,0.0544,0,167827,30,1949,2374
39890,314346,Country,0.642,0.739,0.881,104.275,-10.707,1,11,0.72,1.18E-06,0.204,0.11,0,148933,12,1949,2374
39892,314346,Country,0.686,0.546,0.973,88.597,-11.838,1,3,0.669,0,0.384,0.039,0,138507,8,1949,2374
39899,314346,Country,0.611,0.776,0.967,170.222,-7.469,1,10,0.753,0.000148,0.162,0.041,0,150893,5,1949,2374
39900,314346,Country,0.552,0.385,0.938,188.106,-10.005,1,5,0.861,0,0.0975,0.0779,0,172333,4,1949,2374
39889,314346,Country,0.804,0.286,0.894,110.362,-10.626,1,6,0.89,0.00325,0.112,0.0383,0,146707,3,1949,2374
39894,314346,Country,0.816,0.489,0.637,108.115,-8.641,1,9,0.817,0,0.227,0.0306,0,173867,3,1949,2374
39898,314346,Country,0.499,0.501,0.944,210.04,-10.107,1,9,0.777,0,0.0554,0.114,0,142107,3,1949,2374
73794,806247,Country,0.687,0.526,0.62,98.666,-12.029,1,9,0.248,0,0.061,0.0282,0,194760,3,1949,2374
39886,314346,Country,0.682,0.178,0.707,120.244,-9.895,1,8,0.79,0,0.238,0.0351,0,156160,2,1949,2374
39893,314346,Country,0.653,0.328,0.85,178.934,-9.696,1,5,0.846,0,0.102,0.0643,0,163493,2,1949,2374
39895,314346,Country,0.598,0.255,0.709,111.573,-9.466,1,4,0.755,0,0.23,0.0314,0,152693,2,1949,2374
39885,314346,Country,0.509,0.233,0.625,172.829,-10.651,1,8,0.808,0,0.13,0.0466,0,161733,1,1949,2374
39887,314346,Country,0.488,0.46,0.806,157.615,-10.171,1,9,0.691,0,0.0952,0.0471,0,150133,1,1949,2374
39888,314346,Country,0.7,0.401,0.918,121.656,-11.131,1,4,0.834,3.30E-05,0.438,0.0386,0,165733,1,1949,2374
2439,20760,Country,0.241,0.157,0.172,85.727,-11.284,1,5,0.876,0,0.0967,0.0293,0,247827,0,1949,2374
30355,207127,Country,0.327,0.151,0.164,92.434,-16.133,1,0,0.898,0.00491,0.119,0.0282,0,198267,0,1949,2374
30926,212006,Country,0.644,0.298,0.636,131.771,-11.484,1,6,0.864,0,0.166,0.0314,0,117840,0,1949,2374
39901,314346,Country,0.512,0.23,0.274,110.154,-10.795,1,3,0.848,0,0.303,0.0337,0,173000,0,1949,2374
70728,787960,Country,0.256,0.217,0.144,183.56,-14.55,0,4,0.777,1.02E-05,0.0948,0.031,0,263733,0,1949,2374
75671,816890,Country,0.267,0.192,0.424,92.19,-12.236,1,1,0.939,0,0.445,0.0263,0,177200,0,1949,2374
78837,858375,Country,0.391,0.322,0.539,148.273,-9.831,1,5,0.798,0.000306,0.147,0.0293,0,214427,0,1949,2374
78855,858710,Country,0.366,0.205,0.5,94.52,-11.507,1,5,0.966,0,0.229,0.0292,0,186907,0,1949,2374
83245,926108,Country,0.691,0.584,0.568,115.261,-10.424,1,7,0.252,0,0.287,0.0281,0,242467,0,1949,2374
84993,944310,Country,0.434,0.244,0.494,77.94,-11.656,1,1,0.836,0,0.37,0.0296,0,110840,0,1949,2374
27892,190946,Country,0.545,0.392,0.951,208.426,-10.091,1,2,0.83,9.41E-05,0.0903,0.0481,0,179307,44,1950,2375
27959,190946,Country,0.763,0.262,0.623,117.043,-9.726,1,9,0.781,4.98E-06,0.229,0.0297,0,191360,34,1950,2375
27881,190946,Country,0.776,0.198,0.567,117.755,-11.406,1,9,0.842,0,0.35,0.0318,0,184040,31,1950,2375
27966,190946,Country,0.679,0.259,0.673,126.179,-10.841,1,4,0.813,0,0.134,0.0298,0,168373,31,1950,2375
27895,190946,Country,0.675,0.312,0.644,127.179,-9.351,1,4,0.642,0,0.0898,0.0316,0,163000,29,1950,2375
27948,190946,Country,0.815,0.487,0.91,105.251,-9.589,1,7,0.772,0.000566,0.103,0.0339,0,174360,17,1950,2375
27969,190946,Country,0.59,0.445,0.865,145.405,-11.542,1,10,0.918,0.0177,0.262,0.0302,0,180760,17,1950,2375
27885,190946,Country,0.519,0.397,0.861,198.353,-10.737,1,2,0.83,0,0.213,0.075,0,140133,15,1950,2375
27930,190946,Country,0.758,0.325,0.676,127.075,-8.938,1,5,0.519,1.94E-05,0.152,0.0355,0,174907,15,1950,2375
27914,190946,Country,0.811,0.362,0.895,102.612,-9.87,1,2,0.775,1.13E-05,0.0611,0.0713,0,155560,14,1950,2375
27905,190946,Country,0.604,0.626,0.873,182.807,-8.132,1,4,0.772,0,0.204,0.0543,0,121560,13,1950,2375
27956,190946,Country,0.691,0.235,0.738,115.457,-12.995,1,10,0.748,0.000215,0.327,0.0331,0,183747,13,1950,2375
27970,190946,Country,0.709,0.325,0.818,77.114,-11.438,0,1,0.539,0,0.119,0.0341,0,139680,13,1950,2375
27958,190946,Country,0.605,0.259,0.562,95.637,-10.788,1,0,0.74,0.000136,0.0734,0.0297,0,185293,12,1950,2375
27960,190946,Country,0.742,0.353,0.649,121.285,-8.064,1,7,0.691,0.000241,0.155,0.0322,0,194467,12,1950,2375
27927,190946,Country,0.754,0.433,0.975,110.418,-8.965,1,7,0.705,0.000746,0.246,0.0343,0,146307,9,1950,2375
27973,190946,Country,0.742,0.224,0.732,126.682,-12.13,1,9,0.775,7.05E-06,0.224,0.0309,0,153013,9,1950,2375
27925,190946,Country,0.634,0.184,0.678,119.909,-12.801,1,0,0.723,4.14E-06,0.168,0.0366,0,161853,8,1950,2375
27926,190946,Country,0.546,0.312,0.907,177.489,-11.296,1,4,0.853,0.000125,0.247,0.0355,0,157427,8,1950,2375
27963,190946,Country,0.848,0.356,0.841,130.084,-13.374,1,7,0.576,3.00E-06,0.118,0.0408,0,169453,8,1950,2375
27971,190946,Country,0.667,0.525,0.935,97.241,-10.073,1,7,0.469,0.00198,0.0272,0.0263,0,141307,8,1950,2375
27936,190946,Country,0.616,0.32,0.898,132.216,-10.657,1,0,0.749,0.000243,0.337,0.0322,0,153187,7,1950,2375
27962,190946,Country,0.689,0.381,0.729,146.518,-8.998,1,4,0.83,7.66E-06,0.26,0.0573,0,149307,7,1950,2375
27931,190946,Country,0.715,0.256,0.809,131.829,-10.314,1,7,0.888,0.000162,0.0556,0.0363,0,150893,6,1950,2375
27937,190946,Country,0.609,0.347,0.765,157.672,-10.838,1,4,0.633,0.000547,0.13,0.0402,0,162973,6,1950,2375
27947,190946,Country,0.782,0.18,0.709,110.057,-12.914,1,9,0.889,5.09E-05,0.0571,0.034,0,145307,6,1950,2375
27952,190946,Country,0.648,0.175,0.568,120.771,-10.603,1,2,0.672,0,0.11,0.0399,0,173880,6,1950,2375
27865,190946,Country,0.533,0.193,0.426,63.107,-15.85,1,4,0.831,0,0.121,0.0399,0,188507,5,1950,2375
27875,190946,Country,0.682,0.166,0.451,117.896,-10.328,1,2,0.764,0,0.13,0.0347,0,165347,5,1950,2375
27877,190946,Country,0.711,0.219,0.397,114.498,-10.35,1,2,0.683,0,0.242,0.0342,0,196947,5,1950,2375
27945,190946,Country,0.556,0.242,0.689,128.195,-11.032,1,7,0.858,2.69E-06,0.32,0.0329,0,134667,5,1950,2375
27904,190946,Country,0.656,0.469,0.923,77.749,-9.518,1,2,0.829,6.77E-06,0.0974,0.0315,0,146200,4,1950,2375
27923,190946,Country,0.756,0.185,0.622,127.935,-13.968,1,5,0.671,0.000174,0.159,0.0397,0,172840,4,1950,2375
27928,190946,Country,0.678,0.127,0.461,95.579,-13.199,1,0,0.839,0,0.0868,0.0297,0,183533,4,1950,2375
27939,190946,Country,0.713,0.226,0.72,114.714,-12.451,1,10,0.774,0.000226,0.167,0.0336,0,181400,4,1950,2375
78967,858710,Country,0.633,0.585,0.735,114.893,-11.482,1,2,0.754,0.00104,0.079,0.0293,0,148373,4,1950,2375
27880,190946,Country,0.719,0.277,0.576,98.219,-11.787,1,5,0.886,0.0519,0.0746,0.0272,0,162200,3,1950,2375
27944,190946,Country,0.723,0.249,0.706,128.771,-11.877,1,4,0.732,0,0.129,0.0315,0,146693,3,1950,2375
27965,190946,Country,0.515,0.219,0.55,98.814,-12.708,1,2,0.838,0.0835,0.175,0.0296,0,140693,3,1950,2375
27968,190946,Country,0.623,0.0946,0.428,96.551,-15.174,1,7,0.69,7.68E-05,0.183,0.0293,0,150453,35,1951,2376
32219,227527,Country,0.567,0.417,0.835,134.408,-10.504,1,10,0.692,0,0.339,0.0329,0,141600,31,1951,2376
32189,227527,Country,0.635,0.436,0.794,100.757,-10.445,1,7,0.766,0,0.4,0.0247,0,140000,22,1951,2376
32222,227527,Country,0.624,0.234,0.811,99.758,-13.32,1,8,0.907,3.48E-06,0.149,0.031,0,169227,19,1951,2376
32241,227527,Country,0.475,0.569,0.879,141.496,-13.519,1,7,0.283,0.00121,0.0799,0.0312,0,150333,19,1951,2376
32229,227527,Country,0.381,0.639,0.951,155.515,-10.139,1,2,0.158,0.882,0.31,0.033,0,140200,18,1951,2376
32217,227527,Country,0.66,0.422,0.84,109.346,-10.449,1,2,0.646,1.66E-05,0.125,0.0274,0,129800,17,1951,2376
32185,227527,Country,0.548,0.313,0.671,107.888,-11.217,1,10,0.692,1.34E-05,0.238,0.0274,0,151493,16,1951,2376
32201,227527,Country,0.544,0.538,0.947,136.92,-12.058,1,9,0.194,0.000142,0.392,0.035,0,123667,16,1951,2376
32228,227527,Country,0.543,0.549,0.842,130.633,-10.448,1,3,0.449,0,0.369,0.0371,0,138040,16,1951,2376
32188,227527,Country,0.454,0.461,0.544,134.232,-9.789,1,7,0.624,6.64E-06,0.338,0.0334,0,160493,15,1951,2376
32198,227527,Country,0.601,0.275,0.71,87.776,-15.406,1,2,0.847,0.00979,0.108,0.0319,0,151173,14,1951,2376
32197,227527,Country,0.767,0.337,0.711,115.798,-11.537,0,5,0.726,4.01E-06,0.312,0.0401,0,149600,10,1951,2376
32214,227527,Country,0.814,0.117,0.365,104.641,-14.659,1,0,0.964,0,0.165,0.0401,0,171200,7,1951,2376
32227,227527,Country,0.607,0.399,0.706,113.729,-11.689,1,7,0.38,0.000312,0.356,0.0293,0,143467,7,1951,2376
32231,227527,Country,0.682,0.39,0.951,110.582,-12.64,1,9,0.713,1.17E-05,0.195,0.037,0,149707,7,1951,2376
32234,227527,Country,0.73,0.613,0.835,97.831,-11.638,1,9,0.446,1.65E-05,0.177,0.0301,0,162173,7,1951,2376
32243,227527,Country,0.587,0.755,0.878,132.572,-8.329,1,0,0.446,0.0123,0.291,0.033,0,162640,7,1951,2376
32174,227527,Country,0.706,0.265,0.748,101.809,-14.149,1,8,0.77,1.84E-05,0.678,0.0329,0,128867,6,1951,2376
32223,227527,Country,0.643,0.354,0.711,116.05,-10.363,1,8,0.832,0,0.117,0.0294,0,148907,6,1951,2376
32236,227527,Country,0.721,0.289,0.903,114.839,-11.554,1,10,0.704,0,0.0832,0.119,0,178160,6,1951,2376
27913,190946,Country,0.531,0.232,0.566,125.029,-11.935,1,7,0.448,0.00058,0.142,0.0348,0,179600,5,1951,2376
32168,227527,Country,0.719,0.377,0.83,95.594,-11.483,1,5,0.764,0,0.339,0.0335,0,127440,5,1951,2376
32179,227527,Country,0.449,0.441,0.849,121.923,-9.868,1,7,0.489,2.37E-05,0.403,0.033,0,156133,5,1951,2376
32182,227527,Country,0.565,0.308,0.378,126.894,-11.819,1,5,0.824,0,0.134,0.0317,0,194173,5,1951,2376
32183,227527,Country,0.693,0.617,0.97,103.438,-9.604,1,9,0.651,0.000321,0.126,0.0306,0,136467,5,1951,2376
32184,227527,Country,0.681,0.314,0.684,98.667,-10.636,1,5,0.843,0,0.337,0.0322,0,140000,5,1951,2376
32192,227527,Country,0.54,0.619,0.783,111.292,-11.199,1,2,0.595,6.31E-05,0.136,0.0277,0,146507,5,1951,2376
32207,227527,Country,0.465,0.33,0.674,147.953,-11.339,1,7,0.724,0,0.393,0.0305,0,131867,5,1951,2376
32211,227527,Country,0.57,0.306,0.441,127.642,-10.628,1,5,0.85,0,0.0965,0.0268,0,194800,5,1951,2376
32239,227527,Country,0.516,0.257,0.555,140.684,-10.17,1,6,0.827,1.79E-05,0.119,0.0288,0,174800,5,1951,2376
32245,227527,Country,0.558,0.435,0.708,133.832,-9.325,1,6,0.863,0.00389,0.138,0.0271,0,155507,5,1951,2376
27912,190946,Country,0.535,0.394,0.831,156.906,-12.033,1,2,0.728,2.20E-06,0.0665,0.0377,0,149120,4,1951,2376
32195,227527,Country,0.631,0.454,0.749,109.755,-10.58,1,5,0.809,5.39E-05,0.266,0.0316,0,132760,4,1951,2376
32209,227527,Country,0.719,0.459,0.949,135.321,-12.817,1,9,0.45,0,0.289,0.0523,0,136827,4,1951,2376
32220,227527,Country,0.327,0.359,0.642,177.972,-11.173,1,5,0.796,2.33E-05,0.414,0.033,0,151533,4,1951,2376
32193,227527,Country,0.523,0.474,0.796,113.769,-11.492,1,7,0.511,0.00482,0.205,0.0289,0,140533,3,1951,2376
32205,227527,Country,0.574,0.308,0.607,70.246,-11.801,1,5,0.802,2.44E-06,0.207,0.0319,0,150933,3,1951,2376
27910,190946,Country,0.77,0.45,0.965,107.193,-10.322,1,2,0.756,7.63E-05,0.133,0.0426,0,151200,2,1951,2376
27868,190946,Country,0.658,0.131,0.489,119.786,-13.847,1,0,0.682,0.000315,0.31,0.035,0,154787,1,1951,2376
27873,190946,Country,0.757,0.245,0.783,91.27,-11.76,1,2,0.931,0.000177,0.107,0.0508,0,145813,1,1951,2376
27878,190946,Country,0.594,0.168,0.611,121.66,-13.677,1,9,0.783,1.05E-05,0.203,0.0368,0,186200,1,1951,2376
27921,190946,Country,0.72,0.232,0.62,125.106,-14.216,1,9,0.797,2.09E-06,0.107,0.0371,0,172960,1,1951,2376
27932,190946,Country,0.721,0.34,0.913,94.151,-11.966,1,2,0.767,0,0.0692,0.0279,0,152400,1,1951,2376
27954,190946,Country,0.65,0.185,0.406,115.781,-12.297,1,5,0.653,3.03E-05,0.0805,0.0307,0,152613,1,1951,2376
75693,816890,Country,0.669,0.533,0.522,119.158,-10.647,0,0,0.965,0.00036,0.109,0.0553,0,152707,1,1951,2376
27869,190946,Country,0.629,0.219,0.578,114.505,-12.912,1,0,0.666,8.34E-05,0.0579,0.0321,0,151573,0,1951,2376
27898,190946,Country,0.612,0.171,0.598,119.058,-11.112,1,9,0.672,9.06E-05,0.08,0.0377,0,179520,0,1951,2376
27938,190946,Country,0.628,0.226,0.665,121.051,-11.675,1,5,0.539,1.24E-05,0.132,0.0315,0,171440,0,1951,2376
27950,190946,Country,0.769,0.14,0.374,107.083,-13.97,1,4,0.921,0.00161,0.169,0.0427,0,176200,0,1951,2376
46516,409954,Country,0.236,0.249,0.322,82.151,-13.968,1,3,0.954,4.01E-06,0.2,0.0276,0,156307,0,1951,2376
78950,858710,Country,0.429,0.317,0.302,102.109,-11.322,1,0,0.927,3.50E-06,0.116,0.0292,0,211107,46,1952,2377
78957,858710,Country,0.598,0.413,0.8,114.871,-13.507,1,4,0.803,0.00209,0.123,0.0406,0,150000,33,1952,2377
32191,227527,Country,0.618,0.497,0.977,109.371,-10.434,1,8,0.203,0.922,0.0841,0.062,0,120840,31,1952,2377
77598,838300,Country,0.854,0.356,0.845,113.283,-8.78,1,6,0.863,0.000675,0.131,0.0609,0,138600,26,1952,2377
78874,858710,Country,0.499,0.587,0.733,142.212,-7.312,1,5,0.254,0,0.171,0.0277,0,145800,25,1952,2377
78922,858710,Country,0.682,0.337,0.588,144.868,-10.923,1,4,0.909,7.06E-06,0.125,0.0524,0,171693,24,1952,2377
78854,858710,Country,0.577,0.681,0.749,105.15,-7.537,1,2,0.781,7.23E-05,0.269,0.0314,0,279493,21,1952,2377
78960,858710,Country,0.623,0.533,0.74,127.835,-8.262,1,0,0.895,1.33E-05,0.0871,0.0308,0,150800,21,1952,2377
78973,858710,Country,0.472,0.604,0.525,126.977,-11.582,1,6,0.466,5.16E-06,0.141,0.0486,0,201240,21,1952,2377
78879,858710,Country,0.349,0.334,0.444,198.431,-10.652,1,4,0.866,0.000324,0.297,0.0412,0,189600,19,1952,2377
78963,858710,Country,0.434,0.591,0.751,86.805,-9.685,1,7,0.38,0,0.898,0.0292,0,125573,18,1952,2377
27949,190946,Country,0.664,0.448,0.739,123.977,-12.553,1,7,0.611,0.0738,0.0869,0.0306,0,168533,16,1952,2427
77605,838300,Country,0.638,0.326,0.682,89.807,-10.315,1,0,0.584,0,0.298,0.0358,0,149627,15,1952,2377
78877,858710,Country,0.35,0.223,0.374,79.964,-13.488,1,0,0.725,0.00126,0.151,0.0383,0,197493,15,1952,2377
78927,858710,Country,0.655,0.376,0.744,108.83,-10.086,1,0,0.79,4.09E-06,0.123,0.0318,0,164467,15,1952,2377
