o,id,genre,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,,
827,6334,Vocal,0.22,0.157,0.115,165.531,-17.685,0,7,0.951,0.000912,0.138,0.0333,0,184840,28,1959,2384,,
817,6334,Vocal,0.447,0.387,0.616,122.436,-11.88,1,5,0.778,7.08E-06,0.107,0.0614,0,128960,27,1959,2384,,
770,6334,Vocal,0.485,0.581,0.747,130.613,-10.639,0,5,0.777,0.00667,0.344,0.144,0,95200,18,1959,2384,,
844,6334,Vocal,0.501,0.342,0.788,137.037,-13.087,1,0,0.848,5.83E-05,0.282,0.0493,0,168173,15,1959,2384,,
796,6334,Vocal,0.48,0.264,0.505,109.326,-13.421,0,9,0.909,0.00264,0.278,0.0447,0,175933,13,1959,2384,,
778,6334,Vocal,0.553,0.329,0.781,78.183,-14.056,1,10,0.635,0,0.142,0.0474,0,129627,12,1959,2384,,
801,6334,Vocal,0.493,0.466,0.836,125.37,-11.007,0,7,0.736,0.000216,0.0609,0.134,0,94400,10,1959,2384,,
809,6334,Vocal,0.524,0.438,0.45,125.284,-9.316,1,5,0.678,0,0.24,0.0413,0,150240,26,1961,2386,,
802,6334,Vocal,0.313,0.078,0.125,128.065,-17.583,1,0,0.955,4.48E-06,0.169,0.0332,0,170960,61,1962,5028,,
779,6334,Vocal,0.172,0.264,0.145,84.608,-12.149,1,6,0.967,2.27E-05,0.211,0.031,0,187587,36,1962,2387,,
794,6334,Vocal,0.216,0.182,0.247,94.943,-16.705,1,0,0.759,1.82E-06,0.161,0.0389,0,178667,29,1962,5028,,
815,6334,Vocal,0.634,0.259,0.626,120.551,-14.953,1,0,0.659,0,0.341,0.0479,0,149027,26,1962,5028,,
840,6334,Vocal,0.163,0.171,0.141,82.922,-17.006,1,9,0.907,0,0.235,0.032,0,168267,26,1962,5028,,
829,6334,Vocal,0.202,0.265,0.269,78.226,-14.666,1,0,0.913,1.79E-06,0.135,0.0316,0,157760,24,1962,5028,,
813,6334,Vocal,0.516,0.552,0.798,87.851,-12.105,0,5,0.665,0,0.469,0.042,0,112600,19,1962,5028,,
814,6334,Vocal,0.545,0.433,0.662,126.258,-14.579,1,9,0.735,0,0.044,0.0437,0,144627,19,1962,5028,,
825,6334,Vocal,0.415,0.338,0.335,130.019,-15.122,1,1,0.929,3.63E-06,0.199,0.0608,0,187560,19,1962,5028,,
837,6334,Vocal,0.308,0.135,0.224,99.367,-15.737,1,0,0.81,0,0.158,0.0334,0,158160,19,1962,5028,,
820,6334,Vocal,0.267,0.222,0.109,83.868,-16.092,1,7,0.918,3.14E-06,0.21,0.0343,0,159800,18,1962,5028,,
785,6334,Vocal,0.307,0.227,0.167,114.441,-15.554,1,5,0.895,0,0.113,0.0382,0,140000,17,1962,5028,,
826,6334,Vocal,0.552,0.304,0.396,103.037,-15.314,1,7,0.874,0,0.35,0.0391,0,153960,17,1962,5028,,
810,6334,Vocal,0.406,0.395,0.499,112.814,-7.903,0,5,0.834,4.30E-06,0.0597,0.0292,0,156000,14,1962,2387,,
839,6334,Vocal,0.2,0.259,0.253,76.065,-18.691,1,0,0.819,1.31E-06,0.975,0.146,0,175107,12,1962,2387,,
846,6334,Vocal,0.182,0.261,0.206,175.779,-13.707,1,10,0.88,1.03E-05,0.442,0.033,0,134893,49,1963,2623,,
834,6334,Vocal,0.498,0.266,0.376,69.601,-13.425,1,10,0.768,0,0.0828,0.0348,0,131227,35,1963,2623,,
768,6334,Vocal,0.338,0.255,0.0817,129.538,-10.93,1,3,0.938,0.000493,0.146,0.0364,0,194627,33,1963,2388,,
776,6334,Vocal,0.569,0.327,0.546,126.872,-13.267,1,7,0.816,0,0.18,0.0331,0,104667,32,1963,2623,,
789,6334,Vocal,0.246,0.125,0.104,57.745,-15.78,1,5,0.905,0.000454,0.165,0.033,0,198973,15,1963,2623,,
799,6334,Vocal,0.74,0.0988,0.503,108.433,-18.56,1,0,0.806,6.89E-06,0.111,0.119,0,171907,15,1963,2623,,
775,6334,Vocal,0.603,0.208,0.582,122.462,-18.776,0,5,0.849,0.00652,0.199,0.0397,0,196227,14,1963,2623,,
773,6334,Vocal,0.237,0.238,0.126,112.062,-11.999,1,3,0.927,2.02E-05,0.0543,0.0341,0,175360,33,1964,1459,,
771,6334,Vocal,0.525,0.124,0.132,85.354,-14.847,0,11,0.94,2.54E-06,0.0975,0.0401,0,195200,32,1964,3851,,
792,6334,Vocal,0.247,0.247,0.106,81.393,-10.847,1,3,0.885,0,0.0915,0.0327,0,185373,18,1964,2389,,
822,6334,Vocal,0.448,0.22,0.496,152.148,-14.471,0,5,0.874,0,0.312,0.0347,0,118867,17,1964,1459,,
841,6334,Vocal,0.311,0.127,0.105,87.127,-15.463,1,8,0.938,0.0111,0.182,0.0292,0,249667,45,1965,3817,,
824,6334,Vocal,0.242,0.288,0.28,91.58,-12.518,1,5,0.885,1.02E-05,0.334,0.0308,0,179107,27,1965,3817,,
769,6334,Vocal,0.306,0.098,0.0966,110.333,-17.247,1,7,0.941,0.0508,0.0974,0.032,0,217893,42,1966,432,,
845,6334,Vocal,0.191,0.154,0.114,83.307,-13.184,1,9,0.957,0.0198,0.302,0.0336,0,276867,35,1966,6365,,
788,6334,Vocal,0.16,0.336,0.0845,86.393,-9.258,1,0,0.859,1.08E-05,0.17,0.0329,0,201973,22,1967,2392,,
830,6334,Vocal,0.452,0.366,0.629,115.006,-14.15,0,0,0.833,0,0.0789,0.0415,0,133867,41,1968,1811,,
774,6334,Vocal,0.49,0.371,0.59,138.756,-13.594,0,4,0.636,0,0.352,0.061,0,197600,35,1968,1811,,
807,6334,Vocal,0.417,0.842,0.401,121.002,-6.218,1,0,0.618,0,0.0542,0.143,0,161573,31,1969,2394,,
781,6334,Vocal,0.163,0.145,0.08,161.077,-15.769,1,2,0.878,0.000212,0.0847,0.0339,0,267680,36,1970,7369,,
812,6334,Vocal,0.222,0.316,0.278,153.572,-13.205,1,5,0.836,6.66E-05,0.112,0.0312,0,200253,34,1970,7369,,
793,6334,Vocal,0.117,0.252,0.101,79.323,-14.131,1,7,0.828,0,0.259,0.0334,0,223240,32,1970,7369,,
783,6334,Vocal,0.238,0.432,0.106,81.681,-8.72,0,9,0.741,0,0.751,0.0375,0,240987,34,1971,2396,,
780,6334,Vocal,0.4,0.515,0.705,142.128,-9.704,0,2,0.571,0,0.367,0.0367,0,157040,36,1973,2398,,
806,6334,Vocal,0.232,0.157,0.0538,53.632,-12.553,0,5,0.867,0.00182,0.0908,0.039,0,249573,34,1986,2411,,
798,6334,Vocal,0.471,0.182,0.144,71.994,-13.754,1,2,0.912,0.000277,0.128,0.0296,0,204693,38,1992,6728,,
836,6334,Vocal,0.327,0.149,0.178,185.723,-15.029,1,5,0.904,7.12E-06,0.0953,0.0345,0,172133,36,1992,6728,,
797,6334,Vocal,0.475,0.144,0.113,137.376,-15.436,0,9,0.929,4.98E-06,0.15,0.0378,0,197067,37,1993,1162,,
790,6334,Vocal,0.409,0.435,0.567,78.136,-9.399,1,2,0.907,7.17E-06,0.0559,0.0453,0,168480,53,2011,1639,,
832,6334,Vocal,0.421,0.0533,0.111,111.996,-22.052,1,0,0.946,0.000437,0.131,0.0405,0,203307,61,2012,1496,,
2014,17882,Vocal,0.671,0.362,0.972,126.168,-11.781,1,8,0.906,0.0419,0.314,0.0923,0,185563,7,1950,3239,,
2024,17937,Vocal,0.634,0.518,0.599,129.878,-15.401,1,5,0.442,1.82E-05,0.565,0.256,0,291132,27,1979,43,,
2025,17937,Vocal,0.424,0.363,0.536,92.99,-13.351,0,7,0.812,1.17E-06,0.499,0.0384,0,137509,26,1979,43,,
2023,17937,Vocal,0.561,0.263,0.667,106.671,-17.488,1,8,0.808,1.06E-05,0.281,0.0788,0,246027,29,1988,2413,,
3988,29867,Vocal,0.202,0.188,0.12,79.756,-8.651,1,7,0.919,3.45E-05,0.103,0.0367,0,179733,9,1959,2384,,
3984,29867,Vocal,0.202,0.13,0.0798,82.402,-14.187,1,10,0.911,0.00114,0.11,0.0346,0,241773,28,1961,2386,,
3975,29867,Vocal,0.193,0.301,0.275,133.762,-9.998,1,4,0.92,1.09E-05,0.18,0.0328,0,190467,14,1961,2386,,
3987,29867,Vocal,0.216,0.269,0.315,179.566,-12.892,1,8,0.762,0,0.0537,0.0435,0,176347,16,1962,2387,,
3986,29867,Vocal,0.386,0.607,0.528,183.912,-8.805,0,2,0.201,0.000264,0.116,0.0437,0,207333,48,1970,2395,,
3974,29867,Vocal,0.214,0.503,0.253,80.401,-9.173,1,5,0.298,6.04E-06,0.137,0.0315,0,215307,38,1970,2395,,
3978,29867,Vocal,0.406,0.529,0.508,94.65,-8.517,0,9,0.757,0,0.171,0.0819,0,229640,36,1970,2395,,
3976,29867,Vocal,0.667,0.7,0.616,110.134,-8.595,0,9,0.248,1.23E-05,0.656,0.0956,0,187773,31,1970,2395,,
3983,29867,Vocal,0.41,0.427,0.557,95.193,-9.695,1,2,0.618,2.08E-06,0.067,0.0374,0,197440,49,1971,2396,,
3982,29867,Vocal,0.472,0.407,0.623,97.427,-10.867,1,7,0.82,1.81E-06,0.0535,0.038,0,218600,46,1973,37,,
3979,29867,Vocal,0.401,0.446,0.425,103.906,-9.646,1,4,0.265,0,0.298,0.0416,0,168733,43,1988,4524,,
3977,29867,Vocal,0.711,0.375,0.619,126.243,-9.149,1,7,0.721,0,0.082,0.0981,0,110267,40,1988,4524,,
3981,29867,Vocal,0.348,0.224,0.164,173.498,-12.275,0,6,0.798,0,0.171,0.077,0,275107,34,1988,4524,,
3980,29867,Vocal,0.27,0.293,0.189,96.172,-11.897,1,11,0.864,0.0162,0.15,0.0284,0,189173,47,1994,2419,,
3985,29867,Vocal,0.48,0.447,0.255,96.771,-10.962,0,4,0.74,0.00437,0.0858,0.036,0,161933,55,1998,2423,,
3989,29867,Vocal,0.555,0.569,0.744,109.027,-7.739,0,1,0.384,0.0278,0.719,0.0361,0,170427,46,2000,6521,,
5059,37197,Vocal,0.505,0.133,0.215,109.818,-15.84,1,3,0.894,0.000631,0.212,0.0297,0,186560,43,1991,2000,,
5057,37197,Vocal,0.538,0.291,0.285,92.405,-8.937,0,0,0.85,4.38E-06,0.133,0.0286,0,175800,50,1999,6616,,
5061,37197,Vocal,0.425,0.323,0.171,109.952,-11.295,1,3,0.815,0.00147,0.127,0.0305,0,272867,50,1999,6616,,
5058,37197,Vocal,0.568,0.375,0.231,79.09,-9.167,1,7,0.535,0.000107,0.103,0.0319,0,152000,59,2003,1005,,
5060,37197,Vocal,0.584,0.29,0.257,91.405,-11.226,1,0,0.864,0.000247,0.122,0.0308,0,223067,57,2003,1005,,
5204,38100,Vocal,0.796,0.319,0.88,92.811,-14.571,1,0,0.968,0,0.119,0.47,0,141840,1,1927,2353,,
5198,38100,Vocal,0,0.156,0,0,-9.651,1,9,0.944,0,0.123,0,0,192130,4,1948,6604,,
5197,38100,Vocal,0.696,0.512,0.655,134.539,-6.43,0,5,0.85,0,0.119,0.115,0,153506,0,1948,6604,,
5199,38100,Vocal,0.732,0.225,0.444,88.69,-10.684,1,9,0.952,0,0.303,0.263,0,187833,0,1948,6604,,
5203,38100,Vocal,0.838,0.354,0.74,120.07,-7.401,1,2,0.958,0,0.0806,0.13,0,177853,0,1948,6604,,
5202,38100,Vocal,0.681,0.285,0.795,144.233,-9.243,1,6,0.839,0,0.125,0.0627,0,149800,3,1953,17,,
5194,38100,Vocal,0.674,0.313,0.766,121.474,-9.963,1,8,0.839,0,0.0644,0.0644,0,120840,0,1953,17,,
5195,38100,Vocal,0.602,0.356,0.795,121.973,-9.755,1,5,0.811,0,0.0886,0.043,0,139427,0,1953,17,,
5196,38100,Vocal,0.611,0.282,0.721,110.755,-9.511,1,7,0.884,0,0.508,0.053,0,129187,0,1953,17,,
5201,38100,Vocal,0.555,0.183,0.419,113.85,-10.229,1,8,0.767,0,0.0876,0.0373,0,164173,0,1953,17,,
5205,38100,Vocal,0.446,0.235,0.477,81.571,-10.376,1,8,0.686,0,0.23,0.0397,0,134907,0,1953,17,,
5193,38100,Vocal,0.485,0.0666,0.243,86.326,-20.203,0,11,0.859,0,0.098,0.0403,0,164213,10,1959,2384,,
5200,38100,Vocal,0.288,0.207,0.32,172.632,-11.731,1,5,0.657,0,0.363,0.0306,0,135347,42,2002,6218,,
5314,38466,Vocal,0.188,0.111,0.181,97.379,-17.287,1,5,0.778,0,0.524,0.0321,0,163067,2,1936,2361,,
5343,38466,Vocal,0.205,0.172,0.138,83.084,-12.564,1,0,0.946,0,0.106,0.032,0,201480,0,1945,2370,,
5269,38466,Vocal,0.593,0.393,0.845,109.343,-17.007,0,5,0.708,0,0.118,0.0409,0,128200,7,1949,2374,,
5298,38466,Vocal,0.241,0.554,0.721,200.81,-10.085,1,7,0.775,0,0.151,0.0377,0,151827,0,1953,2378,,
5316,38466,Vocal,0.219,0.259,0.206,94.764,-15.642,1,1,0.617,0.00014,0.0997,0.0308,0,165400,14,1959,2384,,
5309,38466,Vocal,0.247,0.173,0.141,80.136,-17.113,1,2,0.898,0.00197,0.177,0.0347,0,174267,13,1961,1968,,
5315,38466,Vocal,0.147,0.242,0.235,77.023,-13.38,1,2,0.847,8.76E-05,0.31,0.0335,0,185733,7,1961,1968,,
5336,38466,Vocal,0.227,0.215,0.234,88.169,-15.334,1,7,0.912,2.48E-05,0.415,0.0329,0,171000,7,1961,1968,,
5302,38466,Vocal,0.163,0.2,0.152,79.823,-13.642,0,1,0.894,2.52E-05,0.534,0.0319,0,202293,5,1961,1968,,
5267,38466,Vocal,0.23,0.158,0.0994,139.891,-14.869,1,5,0.868,9.03E-05,0.103,0.0361,0,178533,4,1961,1968,,
5297,38466,Vocal,0.281,0.212,0.195,95.555,-15.513,1,6,0.86,7.73E-05,0.119,0.031,0,162893,64,1962,2387,,
5283,38466,Vocal,0.39,0.239,0.472,90.387,-15.452,0,7,0.854,1.27E-06,0.0565,0.0274,0,154867,52,1962,2387,,
5273,38466,Vocal,0.227,0.289,0.193,110.039,-14.085,1,8,0.872,1.71E-06,0.148,0.0335,0,171227,45,1962,2387,,
5304,38466,Vocal,0.173,0.221,0.302,85.629,-14.676,0,2,0.838,1.05E-05,0.0985,0.0304,0,193533,36,1962,2387,,
5323,38466,Vocal,0.602,0.44,0.61,116.077,-13.097,1,4,0.809,0,0.419,0.0373,0,179027,33,1962,2387,,
5294,38466,Vocal,0.129,0.398,0.295,176.975,-9.054,1,10,0.781,0.0905,0.158,0.0329,0,153773,32,1962,2387,,
5300,38466,Vocal,0.25,0.102,0.0769,72.412,-16.175,1,9,0.795,0.00015,0.397,0.0334,0,199600,32,1962,2387,,
5285,38466,Vocal,0.346,0.232,0.253,111.548,-14.898,1,8,0.774,0,0.104,0.0315,0,154040,31,1962,2387,,
5310,38466,Vocal,0.344,0.057,0.109,85.622,-18.311,1,0,0.944,0.000654,0.149,0.0318,0,187600,31,1962,2387,,
5287,38466,Vocal,0.251,0.259,0.142,81.324,-12.076,1,3,0.739,4.86E-05,0.193,0.03,0,215853,30,1962,2387,,
5303,38466,Vocal,0.239,0.302,0.252,81.802,-15.05,1,3,0.853,4.15E-05,0.148,0.0347,0,173667,30,1962,2387,,
5344,38466,Vocal,0.191,0.0707,0.0525,89.848,-16.218,1,0,0.916,2.28E-06,0.129,0.0322,0,219027,26,1962,2387,,
5306,38466,Vocal,0.127,0.414,0.338,205.249,-13.781,1,0,0.774,6.72E-05,0.153,0.0387,0,182840,25,1962,2387,,
5320,38466,Vocal,0.381,0.0716,0.156,116.404,-19.252,1,0,0.939,4.56E-05,0.134,0.0345,0,188200,24,1962,2387,,
5332,38466,Vocal,0.41,0.278,0.803,180.789,-8.719,1,0,0.911,0.000239,0.077,0.0386,0,140173,20,1962,2387,,
5322,38466,Vocal,0.156,0.195,0.228,81.49,-15.129,1,4,0.912,0.00108,0.131,0.0344,0,170040,17,1962,2387,,
5291,38466,Vocal,0.29,0.639,0.219,79.231,-7.441,1,10,0.247,0.0162,0.0934,0.0392,0,301707,15,1962,2387,,
5276,38466,Vocal,0.244,0.237,0.229,79.577,-10.845,1,4,0.879,1.98E-05,0.117,0.0299,0,170267,13,1962,2387,,
5334,38466,Vocal,0.287,0.771,0.752,196.828,-7.483,1,5,0.828,2.52E-06,0.337,0.0496,0,120507,6,1962,2387,,
5290,38466,Vocal,0.24,0.598,0.776,202.082,-8.435,1,7,0.766,0,0.117,0.037,0,151933,51,1963,1641,,
5263,38466,Vocal,0.505,0.451,0.744,74.347,-10.193,0,9,0.727,0,0.233,0.0329,0,156867,35,1963,1641,,
5266,38466,Vocal,0.301,0.377,0.433,109.83,-13.495,0,7,0.842,9.43E-06,0.153,0.0365,0,138893,35,1963,1970,,
5333,38466,Vocal,0.234,0.526,0.649,201.739,-11.656,1,2,0.871,2.34E-06,0.122,0.0411,0,151000,33,1963,2388,,
5275,38466,Vocal,0.532,0.182,0.723,91.02,-12.245,1,0,0.966,0.00316,0.0476,0.0325,0,141933,26,1963,1970,,
5327,38466,Vocal,0.213,0.233,0.351,82.504,-10.745,1,0,0.914,0,0.265,0.0286,0,187000,24,1963,1641,,
5295,38466,Vocal,0.231,0.252,0.217,88.986,-12.342,0,9,0.905,5.81E-05,0.298,0.0298,0,182293,20,1963,1970,,
5312,38466,Vocal,0.462,0.402,0.7,148.956,-13.792,1,0,0.825,0,0.189,0.0353,0,157000,20,1963,2388,,
5284,38466,Vocal,0.265,0.301,0.184,136.426,-11.589,0,5,0.871,0,0.127,0.0313,0,152693,19,1963,1641,,
5317,38466,Vocal,0.343,0.47,0.816,95.308,-10.751,1,0,0.776,0,0.315,0.0386,0,101493,18,1963,1970,,
5270,38466,Vocal,0.144,0.168,0.14,83.02,-12.561,1,0,0.943,0,0.104,0.0344,0,201640,17,1963,1641,,
5277,38466,Vocal,0.281,0.248,0.13,92.375,-14.578,1,0,0.898,0.00675,0.113,0.0282,0,148267,17,1963,1641,,
5301,38466,Vocal,0.205,0.153,0.181,89.408,-16.068,1,10,0.922,0.000572,0.115,0.0336,0,135000,17,1963,1641,,
5313,38466,Vocal,0.16,0.208,0.11,72.903,-15.325,0,2,0.944,0.0123,0.126,0.0331,0,193947,16,1963,1970,,
5329,38466,Vocal,0.698,0.361,0.53,75.619,-12.782,1,5,0.782,1.43E-06,0.152,0.0276,0,134960,14,1963,1641,,
5264,38466,Vocal,0.212,0.108,0.134,83.498,-17.95,1,5,0.955,0.00145,0.0923,0.0319,0,165360,13,1963,1970,,
5325,38466,Vocal,0.725,0.432,0.708,114.083,-11.923,0,5,0.861,0,0.121,0.0421,0,234973,13,1963,1641,,
5340,38466,Vocal,0.481,0.636,0.893,149.644,-8.907,1,10,0.793,0,0.124,0.0498,0,125000,13,1963,1641,,
5318,38466,Vocal,0.208,0.184,0.347,80.261,-15.49,1,0,0.931,0,0.376,0.0303,0,187000,12,1963,2388,,
5326,38466,Vocal,0.166,0.169,0.349,83.387,-13.16,1,7,0.876,0,0.329,0.0304,0,169933,12,1963,1641,,
5279,38466,Vocal,0.21,0.326,0.323,99.938,-13.266,1,11,0.783,0,0.169,0.0317,0,190027,13,1964,5705,,
5278,38466,Vocal,0.428,0.374,0.468,102.171,-14.527,1,9,0.822,0.000121,0.155,0.0281,0,177467,38,1965,5706,,
5265,38466,Vocal,0.571,0.634,0.805,109.575,-9.155,0,5,0.724,0,0.0864,0.0537,0,128400,36,1965,2390,,
5289,38466,Vocal,0.257,0.193,0.16,79.956,-16.665,0,8,0.906,0.00433,0.108,0.0314,0,159560,31,1965,5706,,
5292,38466,Vocal,0.487,0.314,0.282,96.682,-12.086,1,0,0.748,0,0.0928,0.0253,0,171467,20,1965,2390,,
5293,38466,Vocal,0.204,0.199,0.161,89.642,-14.633,0,5,0.907,0.414,0.105,0.0327,0,182173,41,1966,5707,,
5286,38466,Vocal,0.238,0.244,0.323,84.642,-13.992,1,7,0.914,0.0968,0.122,0.0326,0,173480,38,1966,5707,,
5296,38466,Vocal,0.217,0.182,0.0871,66.075,-15.407,1,5,0.93,0.627,0.165,0.0335,0,164653,34,1966,2285,,
5281,38466,Vocal,0.41,0.13,0.403,82.438,-16.79,1,2,0.892,1.92E-05,0.0699,0.0297,0,147427,29,1966,2391,,
5339,38466,Vocal,0.642,0.421,0.556,124.447,-10.137,1,0,0.332,4.69E-06,0.631,0.0349,0,193387,49,1967,2392,,
5268,38466,Vocal,0.429,0.602,0.632,157.103,-9.957,1,8,0.719,9.76E-05,0.324,0.0335,0,156080,48,1967,2392,,
5262,38466,Vocal,0.177,0.365,0.467,185.564,-13.422,1,8,0.684,0.00103,0.291,0.0335,0,156067,42,1967,2392,,
5335,38466,Vocal,0.221,0.339,0.213,98.767,-11.592,1,0,0.617,2.84E-06,0.113,0.0295,0,145573,24,1967,2392,,
5307,38466,Vocal,0.444,0.311,0.561,93.544,-14.811,1,7,0.673,0.000234,0.162,0.03,0,177533,20,1967,2392,,
5342,38466,Vocal,0.229,0.274,0.261,89.769,-12.961,1,10,0.761,0.00359,0.106,0.0316,0,156333,36,1968,4330,,
5308,38466,Vocal,0.265,0.356,0.509,110.761,-12.721,1,7,0.694,0,0.656,0.0321,0,192467,36,1969,3870,,
5282,38466,Vocal,0.239,0.285,0.227,78.498,-13.851,0,9,0.843,0,0.301,0.033,0,153573,35,1969,1173,,
5288,38466,Vocal,0.413,0.164,0.845,183.178,-14.579,1,0,0.914,1.40E-05,0.0883,0.0378,0,142000,43,1970,2395,,
5305,38466,Vocal,0.27,0.377,0.491,115.281,-12.66,1,7,0.659,0.000134,0.659,0.0332,0,192122,22,1970,2395,,
5280,38466,Vocal,0.259,0.473,0.232,84.897,-10.187,1,6,0.512,1.50E-06,0.4,0.0324,0,189067,56,1971,2848,,
5337,38466,Vocal,0.341,0.448,0.391,86.718,-11.536,1,1,0.878,0.00303,0.0953,0.0289,0,163973,34,1971,2848,,
5274,38466,Vocal,0.4,0.406,0.386,96.603,-13.157,0,11,0.254,0.0605,0.0972,0.0276,0,213467,33,1971,2848,,
5328,38466,Vocal,0.5,0.365,0.13,116.346,-12.392,1,3,0.621,0.00169,0.0971,0.0295,0,204427,33,1971,2848,,
5331,38466,Vocal,0.245,0.291,0.275,78.203,-14.204,1,5,0.738,8.70E-05,0.11,0.0287,0,177760,31,1971,2848,,
5341,38466,Vocal,0.404,0.573,0.856,105.831,-9.792,1,3,0.289,0,0.243,0.028,0,158400,31,1971,2848,,
5299,38466,Vocal,0.183,0.344,0.345,80.265,-12.852,1,10,0.976,0.000152,0.103,0.034,0,208440,27,1972,2397,,
5330,38466,Vocal,0.264,0.202,0.256,146.008,-15.677,0,0,0.774,0.000128,0.287,0.0305,0,182840,44,1973,2398,,
5321,38466,Vocal,0.415,0.291,0.117,118.009,-14.969,1,4,0.838,0.00424,0.0829,0.0369,0,188067,30,1973,2398,,
5324,38466,Vocal,0.198,0.479,0.575,76.086,-13.888,1,1,0.846,0.00914,0.121,0.0397,0,200160,22,1973,2398,,
5311,38466,Vocal,0.284,0.198,0.275,94.457,-15.692,1,1,0.825,1.67E-05,0.122,0.0316,0,164800,29,1986,5505,,
5261,38466,Vocal,0.208,0.184,0.196,84.492,-13.283,1,8,0.886,0.000705,0.105,0.0325,0,195733,34,1990,1528,,
